material_id,raw_description,quantity,unit_price
ONGC-00127,rotameter 0-50 lpm glass tube,321,7516.7
ONGC-00055,3 INCH WELD NECK FLANGE CARBON STEEL CLASS 150,16,13138.82
ONGC-00098,BALL VALVE STAINLESS STEEL 316 3 INCH,99,111506.5
ONGC-00058,4 inch check valve carbon steel class 150,47,15586.26
ONGC-00040,2 Inch Coupling Carbon Steel,40,7145.37
ONGC-00005,CENTRIFUGAL PUMP 200 M3/HR 80M HEAD CARBON STEEL,1,467743.35
ONGC-00054,6 Inch Ball Valve Stainless Steel 304 Class 300,67,110045.82
ONGC-00103,M16 HEX BOLT CARBON STEEL GRADE 8.8,396,7814.57
ONGC-00049,gate valve carbon steel 4 inch,34,25152.68
ONGC-00051,Ball Valve Stainless Steel 316 3 Inch Class 150,1,29064.17
ONGC-00111,CENTRIFUGAL PUMP 200 M3/HR 80M HEAD CARBON STEEL,484,13466.74
ONGC-00124,TERMINAL BLOCK 4MM SQ GREY,194,17843.34
ONGC-00109,3 INCH GLOBE VALVE CARBON STEEL,99,8996.49
ONGC-00097,M20 Hex Bolt Stainless Steel 304 Grade B8,1598,217.35
ONGC-00032,M16 HEX BOLT CARBON STEEL GRADE 8.8,731,128.87
ONGC-00115,2 Inch O-Ring Seal Stainless Steel 316,223,1198.3
ONGC-00122,SPILL KIT OIL ABSORBENT 200LTR,168,8550.52
ONGC-00064,M24 STUD BOLT CARBON STEEL GRADE B7,1835,326.64
ONGC-00121,AIR FILTER REGULATOR LUBRICATOR UNIT,7,2067.4
ONGC-00149,TERMINAL BLOCK 4MM SQ GREY,164,18386.36
ONGC-00006,6 inch ball valve stainless steel 304 class 300,95,83809.22
ONGC-00043,1-1/2 INCH GLOBE VALVE STAINLESS STEEL 316 CLASS 150,63,8077.99
ONGC-00132,BATTERY LEAD ACID 12V 100AH,364,9659.26
ONGC-00142,CHAIN SLING 2TON 3MTR,369,8034.45
ONGC-00026,2 inch ball valve stainless steel 316,92,52023.28
ONGC-00059,4 INCH REDUCER CARBON STEEL,242,299.57
ONGC-00079,CENTRIFUGAL PUMP 200 M3/HR 80M HEAD CARBON STEEL,4,173282.51
ONGC-00078,M24 STUD BOLT CARBON STEEL GRADE B7,1629,453.15
ONGC-00044,BUTTERFLY VALVE CARBON STEEL 6 INCH CLASS 150,58,66161.07
ONGC-00028,m16 hex nut carbon steel grade 8,903,291.25
ONGC-00136,CHAIN SLING 2TON 3MTR,242,5110.96
ONGC-00134,ROTAMETER 0-50 LPM GLASS TUBE,19,5012.05
ONGC-00027,1 Inch Ball Valve Stainless Steel 316 Class 150,32,87672.0
ONGC-00102,2 INCH CARBON STEEL PIPE SCH40 SEAMLESS,19,5987.82
ONGC-00053,2 INCH SPIRAL WOUND GASKET STAINLESS STEEL 316,282,1130.99
ONGC-00131,TEMPERATURE TRANSMITTER 4-20MA HART,415,7556.38
ONGC-00036,MECHANICAL SEAL 6 INCH STAINLESS STEEL 316,109,2318.03
ONGC-00112,6 Inch Ball Valve Stainless Steel 304 Class 300,144,18926.58
ONGC-00085,6 INCH BLIND FLANGE CARBON STEEL CLASS 150,7,17690.6
ONGC-00003,3 INCH BLIND FLANGE STAINLESS STEEL 304 CLASS 150,6,14698.46
ONGC-00119,BATTERY LEAD ACID 12V 100AH,74,2902.68
ONGC-00034,4 INCH SPIRAL WOUND GASKET GRAPHITE,105,1097.31
ONGC-00029,8 INCH BLIND FLANGE CARBON STEEL CLASS 300,58,17079.48
ONGC-00075,2 INCH WELD NECK FLANGE CARBON STEEL CLASS 150,51,23454.39
ONGC-00089,4 INCH REDUCER CARBON STEEL,253,2147.94
ONGC-00011,MECHANICAL SEAL 6 INCH STAINLESS STEEL 316,55,3106.96
ONGC-00129,BATTERY LEAD ACID 12V 100AH,217,18947.61
ONGC-00150,CHAIN SLING 2TON 3MTR,20,11099.39
ONGC-00105,6 INCH SPIRAL WOUND GASKET STAINLESS STEEL 316,455,1871.17
ONGC-00001,3 INCH BALL VALVE STAINLESS STEEL 316,44,8453.36
ONGC-00016,2 INCH GATE VALVE CARBON STEEL,90,45703.01
ONGC-00106,2 Inch O-Ring Seal Stainless Steel 316,223,19138.18
ONGC-00019,2 INCH GATE VALVE CARBON STEEL,42,83817.36
ONGC-00090,CENTRIFUGAL PUMP 50 M3/HR 30M HEAD CARBON STEEL,5,296587.35
ONGC-00009,2 INCH COUPLING CARBON STEEL,87,4158.43
ONGC-00095,2 INCH CARBON STEEL PIPE SCH40 SEAMLESS,199,1835.86
ONGC-00117,TERMINAL BLOCK 4MM SQ GREY,235,17759.7
ONGC-00004,4 INCH BALL VALVE CARBON STEEL CLASS 150,37,56783.49
ONGC-00133,Desiccant Breather 2In Npt,91,11190.16
ONGC-00138,TEMPERATURE TRANSMITTER 4-20MA HART,456,14832.43
ONGC-00126,desiccant breather 2in npt,136,4702.9
ONGC-00068,2 INCH SPIRAL WOUND GASKET STAINLESS STEEL 316,261,1031.12
ONGC-00080,6 INCH CARBON STEEL PIPE SCH40 WELDED,907,683.73
ONGC-00145,CHAIN SLING 2TON 3MTR,173,16052.08
ONGC-00146,HYDRAULIC HOSE 1IN 2WIRE BRAID,317,19399.08
ONGC-00023,3 Inch Tee Carbon Steel,268,1051.94
ONGC-00067,M24 STUD BOLT CARBON STEEL GRADE B7,1732,12.58
ONGC-00143,HYDRAULIC HOSE 1IN 2WIRE BRAID,417,1703.68
ONGC-00063,3 INCH BLIND FLANGE STAINLESS STEEL 304 CLASS 150,94,17968.91
ONGC-00046,M16 HEX BOLT CARBON STEEL GRADE 8.8,1200,45.03
ONGC-00024,Mechanical Seal 6 Inch Stainless Steel 316,145,5675.34
ONGC-00056,3 INCH SPIRAL WOUND GASKET STAINLESS STEEL 316,90,359.36
ONGC-00135,AIR FILTER REGULATOR LUBRICATOR UNIT,451,2268.39
ONGC-00113,4 INCH GATE VALVE CARBON STEEL CLASS 300,109,15802.88
ONGC-00039,GATE VALVE STAINLESS STEEL 316 6 INCH CLASS 150,47,80640.49
