material_id,raw_description,quantity,unit_price,normalized_description
BPCL-00128,CABLE TRAY PERFORATED 300MM GI,40,5410.11,Cable Tray Perforated 300Mm Gi
BPCL-00147,CABLE TRAY PERFORATED 300MM GI,122,7693.61,Cable Tray Perforated 300Mm Gi
BPCL-00055,ELBOW 2IN CS,186,911.05,Elbow 2 Inch Carbon Steel
BPCL-00057,HEX NUT M16 CS GR8,616,435.6,Hex Nut M16 Carbon Steel Grade 8
BPCL-00088,FLANGE WN 4IN SS316 CL300,51,25353.59,Flange Weld Neck 4 Inch Stainless Steel 316 Class 300
BPCL-00132,FIRE HOSE REEL 30MTR,442,19688.82,Fire Hose Reel 30Mtr
BPCL-00108,ELBOW 4IN SS316,432,5898.3,Elbow 4 Inch Stainless Steel 316
BPCL-00015,CENTRIFUGAL PUMP 75M3/HR 40M SS304,1,276224.18,Centrifugal Pump 75M3/Hr 40M Stainless Steel 304
BPCL-00070,GASKET SW 6IN SS316,165,116.06,Gasket Spiral Wound 6 Inch Stainless Steel 316
BPCL-00083,FLANGE BLIND 6IN CS CL150,16,19508.57,Flange Blind 6 Inch Carbon Steel Class 150
BPCL-00080,GASKET SW 6IN SS316,215,1512.42,Gasket Spiral Wound 6 Inch Stainless Steel 316
BPCL-00115,ELBOW 4IN SS316,11,12513.99,Elbow 4 Inch Stainless Steel 316
BPCL-00047,GASKET SW 8IN GRAPHITE,137,1867.63,Gasket Spiral Wound 8 Inch Graphite
BPCL-00014,BALL VALVE 1IN SS316 CL150,63,81887.6,Ball Valve 1 Inch Stainless Steel 316 Class 150
BPCL-00069,ELBOW 4IN SS316,202,2542.0,Elbow 4 Inch Stainless Steel 316
BPCL-00007,HEX NUT M16 CS GR8,1238,413.44,Hex Nut M16 Carbon Steel Grade 8
BPCL-00142,NITRILE GLOVES SIZE L BOX OF 100,134,18005.37,Nitrile Gloves Size L Box Of 100
BPCL-00023,hex nut m16 cs gr8,1304,269.06,Hex Nut M16 Carbon Steel Grade 8
BPCL-00140,GREASE NLGI-2 180KG DRUM,362,4168.1,Grease Nlgi 2 180Kg Drum
BPCL-00003,CENTRIFUGAL PUMP 75M3/HR 40M SS304,4,383504.29,Centrifugal Pump 75M3/Hr 40M Stainless Steel 304
BPCL-00126,V-BELT A-SECTION A52,209,16007.11,V Belt A Section A52
BPCL-00091,REDUCER 6IN SS304,292,4735.97,Reducer 6 Inch Stainless Steel 304
BPCL-00127,GREASE NLGI-2 180KG DRUM,209,9721.33,Grease Nlgi 2 180Kg Drum
BPCL-00005,PIPE 4IN SS316 SCH80,238,4174.12,Pipe 4 Inch Stainless Steel 316 Sch80
BPCL-00138,CABLE TRAY PERFORATED 300MM GI,153,11105.85,Cable Tray Perforated 300Mm Gi
BPCL-00040,GATE VALVE 2IN CS CL150,38,143943.07,Gate Valve 2 Inch Carbon Steel Class 150
BPCL-00131,WIRE ROPE 12MM GALVANIZED,494,12918.83,Wire Rope 12Mm Galvanized
BPCL-00082,BALL VALVE 1IN SS316 CL150,45,30221.78,Ball Valve 1 Inch Stainless Steel 316 Class 150
BPCL-00018,PIPE 4IN SS316 SCH80,956,4551.07,Pipe 4 Inch Stainless Steel 316 Sch80
BPCL-00098,FLANGE BLIND 3IN SS304 CL150,87,13440.54,Flange Blind 3 Inch Stainless Steel 304 Class 150
BPCL-00092,FLANGE BLIND 8IN CS CL300,83,14342.79,Flange Blind 8 Inch Carbon Steel Class 300
BPCL-00024,HEX BOLT M20 SS304 GRB8,206,288.71,Hex Bolt M20 Stainless Steel 304 Grade B8
BPCL-00067,STUD BOLT M24 CS GRB7,1252,228.96,Stud Bolt M24 Carbon Steel Grade B7
BPCL-00002,BALL VALVE 2IN SS316 CL150,1,58125.83,Ball Valve 2 Inch Stainless Steel 316 Class 150
BPCL-00045,PIPE 3IN CS SCH40,632,3134.98,Pipe 3 Inch Carbon Steel Sch40
BPCL-00134,WIRE ROPE 12MM GALVANIZED,75,5482.53,Wire Rope 12Mm Galvanized
BPCL-00011,BALL VALVE 2IN SS316 CL150,40,60081.88,Ball Valve 2 Inch Stainless Steel 316 Class 150
BPCL-00079,CHECK VALVE 2IN SS304 CL150,94,47870.67,Check Valve 2 Inch Stainless Steel 304 Class 150
BPCL-00032,HEX NUT M16 CS GR8,997,231.22,Hex Nut M16 Carbon Steel Grade 8
BPCL-00072,GATE VALVE 4IN CS CL300,26,43082.9,Gate Valve 4 Inch Carbon Steel Class 300
BPCL-00122,LADDER FIBERGLASS 12FT,342,18971.64,Ladder Fiberglass 12 Ft
BPCL-00141,LADDER FIBERGLASS 12FT,27,2843.37,Ladder Fiberglass 12 Ft
BPCL-00093,HEX BOLT 3/4IN CS GRB7,1453,323.78,Hex Bolt 3/4 Inch Carbon Steel Grade B7
BPCL-00121,Paint Epoxy Zinc Rich 20Ltr,355,17228.31,Paint Epoxy Zinc Rich 20Ltr
BPCL-00110,BALL VALVE 1IN SS316 CL150,151,1755.9,Ball Valve 1 Inch Stainless Steel 316 Class 150
BPCL-00118,WIRE ROPE 12MM GALVANIZED,261,5397.87,Wire Rope 12Mm Galvanized
BPCL-00053,ORING SEAL 2IN SS316,2,7303.35,O-Ring Seal 2 Inch Stainless Steel 316
BPCL-00075,BALL VALVE 1IN SS316 CL150,49,144238.41,Ball Valve 1 Inch Stainless Steel 316 Class 150
BPCL-00085,BALL VALVE 2IN SS316 CL150,47,45518.61,Ball Valve 2 Inch Stainless Steel 316 Class 150
BPCL-00123,CABLE TRAY PERFORATED 300MM GI,81,15606.19,Cable Tray Perforated 300Mm Gi
BPCL-00087,GASKET SW 6IN SS316,118,909.49,Gasket Spiral Wound 6 Inch Stainless Steel 316
BPCL-00145,CABLE TRAY PERFORATED 300MM GI,173,3548.66,Cable Tray Perforated 300Mm Gi
BPCL-00043,FLANGE WN 4IN SS316 CL300,90,31132.56,Flange Weld Neck 4 Inch Stainless Steel 316 Class 300
BPCL-00117,Ball Bearing 6205 2Rs,119,7293.03,Ball Bearing 6205 2Rs
BPCL-00089,globe valve 3in cs cl300,1,24975.56,Globe Valve 3 Inch Carbon Steel Class 300
BPCL-00095,ORING SEAL 2IN SS316,179,1417.99,O-Ring Seal 2 Inch Stainless Steel 316
BPCL-00028,GASKET SW 8IN GRAPHITE,9,1442.42,Gasket Spiral Wound 8 Inch Graphite
BPCL-00107,GASKET SW 2IN SS316,398,2864.58,Gasket Spiral Wound 2 Inch Stainless Steel 316
BPCL-00111,hex nut m16 cs gr8,112,16970.16,Hex Nut M16 Carbon Steel Grade 8
BPCL-00013,FLANGE BLIND 6IN CS CL150,38,45083.7,Flange Blind 6 Inch Carbon Steel Class 150
BPCL-00054,FLANGE BLIND 8IN CS CL300,21,6548.66,Flange Blind 8 Inch Carbon Steel Class 300
BPCL-00050,CENTRIFUGAL PUMP 75M3/HR 40M SS304,1,218495.92,Centrifugal Pump 75M3/Hr 40M Stainless Steel 304
BPCL-00100,CHECK VALVE 2IN SS304 CL150,67,17408.07,Check Valve 2 Inch Stainless Steel 304 Class 150
BPCL-00120,BALL BEARING 6205 2RS,226,11063.34,Ball Bearing 6205 2Rs
BPCL-00144,FIRE EXTINGUISHER CO2 5KG,309,12030.31,Fire Extinguisher Co2 5Kg
BPCL-00097,ELBOW 4IN SS316,251,232.77,Elbow 4 Inch Stainless Steel 316
BPCL-00033,TEE 3IN CS,161,2046.71,Tee 3 Inch Carbon Steel
BPCL-00136,NITRILE GLOVES SIZE L BOX OF 100,356,2399.13,Nitrile Gloves Size L Box Of 100
BPCL-00143,CABLE TRAY PERFORATED 300MM GI,98,14657.08,Cable Tray Perforated 300Mm Gi
BPCL-00081,GASKET SW 3IN SS316,162,731.3,Gasket Spiral Wound 3 Inch Stainless Steel 316
BPCL-00062,Ball Valve 2In Ss316 Cl150,63,51357.88,Ball Valve 2 Inch Stainless Steel 316 Class 150
BPCL-00010,STUD BOLT 1IN SS316 GRB8M,1115,161.52,Stud Bolt 1 Inch Stainless Steel 316 Grade B8M
BPCL-00105,ELBOW 4IN SS316,400,16146.66,Elbow 4 Inch Stainless Steel 316
BPCL-00106,GATE VALVE 4IN CS CL300,165,7973.81,Gate Valve 4 Inch Carbon Steel Class 300
BPCL-00073,CHECK VALVE 4IN CS CL150,85,3937.98,Check Valve 4 Inch Carbon Steel Class 150
BPCL-00046,CENTRIFUGAL PUMP 200M3/HR 80M CS,3,376743.01,Centrifugal Pump 200M3/Hr 80M Carbon Steel
BPCL-00065,GASKET SW 8IN GRAPHITE,21,987.63,Gasket Spiral Wound 8 Inch Graphite
BPCL-00135,fire hose reel 30mtr,128,16460.55,Fire Hose Reel 30Mtr
BPCL-00034,HEX NUT M16 CS GR8,1230,272.23,Hex Nut M16 Carbon Steel Grade 8
BPCL-00030,CENTRIFUGAL PUMP 75M3/HR 40M SS304,5,96312.21,Centrifugal Pump 75M3/Hr 40M Stainless Steel 304
BPCL-00020,GASKET SW 2IN SS316,183,1882.67,Gasket Spiral Wound 2 Inch Stainless Steel 316
BPCL-00074,PIPE 4IN SS316 SCH80,858,2672.83,Pipe 4 Inch Stainless Steel 316 Sch80
BPCL-00129,ladder fiberglass 12ft,281,13991.97,Ladder Fiberglass 12 Ft
BPCL-00049,GLOBE VALVE 3IN CS CL300,92,24575.78,Globe Valve 3 Inch Carbon Steel Class 300
BPCL-00058,GATE VALVE 4IN CS CL300,15,35654.55,Gate Valve 4 Inch Carbon Steel Class 300
BPCL-00068,Reducer 4In Cs,29,1316.31,Reducer 4 Inch Carbon Steel
BPCL-00101,Hex Bolt 3/4In Cs Grb7,92,17754.84,Hex Bolt 3/4 Inch Carbon Steel Grade B7
BPCL-00026,GASKET SW 2IN SS316,293,1428.61,Gasket Spiral Wound 2 Inch Stainless Steel 316
BPCL-00022,HEX NUT M16 CS GR8,1362,439.92,Hex Nut M16 Carbon Steel Grade 8
BPCL-00021,TEE 3IN CS,19,1741.04,Tee 3 Inch Carbon Steel
BPCL-00052,REDUCER 6IN SS304,218,610.81,Reducer 6 Inch Stainless Steel 304
BPCL-00148,FIRE EXTINGUISHER CO2 5KG,130,8469.62,Fire Extinguisher Co2 5Kg
BPCL-00029,Centrifugal Pump 50M3/Hr 30M Cs,1,444544.54,Centrifugal Pump 50M3/Hr 30M Carbon Steel
BPCL-00004,GLOBE VALVE 3IN CS CL300,72,126590.66,Globe Valve 3 Inch Carbon Steel Class 300
BPCL-00038,CENTRIFUGAL PUMP 200M3/HR 80M CS,3,372280.58,Centrifugal Pump 200M3/Hr 80M Carbon Steel
BPCL-00090,flange blind 8in cs cl300,55,17383.78,Flange Blind 8 Inch Carbon Steel Class 300
BPCL-00001,PIPE 6IN CS SCH40,597,4704.03,Pipe 6 Inch Carbon Steel Sch40
BPCL-00059,CENTRIFUGAL PUMP 75M3/HR 40M SS304,1,229551.22,Centrifugal Pump 75M3/Hr 40M Stainless Steel 304
BPCL-00051,PIPE 3IN CS SCH40,38,2235.83,Pipe 3 Inch Carbon Steel Sch40
BPCL-00139,nitrile gloves size l box of 100,76,9974.42,Nitrile Gloves Size L Box Of 100
BPCL-00130,grease nlgi-2 180kg drum,246,5194.86,Grease Nlgi 2 180Kg Drum
BPCL-00119,WIRE ROPE 12MM GALVANIZED,256,6936.58,Wire Rope 12Mm Galvanized
BPCL-00060,hex nut m16 cs gr8,251,373.4,Hex Nut M16 Carbon Steel Grade 8
BPCL-00137,GREASE NLGI-2 180KG DRUM,34,9986.91,Grease Nlgi 2 180Kg Drum
BPCL-00006,GASKET SW 3IN SS316,290,443.17,Gasket Spiral Wound 3 Inch Stainless Steel 316
BPCL-00063,FLANGE WN 4IN SS316 CL300,90,21310.72,Flange Weld Neck 4 Inch Stainless Steel 316 Class 300
BPCL-00016,PIPE 3IN CS SCH40,512,1905.74,Pipe 3 Inch Carbon Steel Sch40
BPCL-00017,FLANGE WN 3IN CS CL150,53,27061.02,Flange Weld Neck 3 Inch Carbon Steel Class 150
BPCL-00012,GATE VALVE 2IN CS CL150,14,68888.39,Gate Valve 2 Inch Carbon Steel Class 150
BPCL-00104,CENTRIFUGAL PUMP 75M3/HR 40M SS304,120,14459.23,Centrifugal Pump 75M3/Hr 40M Stainless Steel 304
BPCL-00009,ELBOW 4IN SS316,136,2663.02,Elbow 4 Inch Stainless Steel 316
BPCL-00113,GATE VALVE 4IN CS CL300,82,12876.36,Gate Valve 4 Inch Carbon Steel Class 300
BPCL-00031,HEX BOLT M20 SS304 GRB8,277,59.76,Hex Bolt M20 Stainless Steel 304 Grade B8
BPCL-00103,tee 3in cs,88,16116.03,Tee 3 Inch Carbon Steel
BPCL-00027,GASKET SW 3IN SS316,90,115.39,Gasket Spiral Wound 3 Inch Stainless Steel 316
BPCL-00036,Hex Bolt M20 Ss304 Grb8,144,361.42,Hex Bolt M20 Stainless Steel 304 Grade B8
BPCL-00150,BALL BEARING 6205 2RS,181,3728.2,Ball Bearing 6205 2Rs
BPCL-00066,centrifugal pump 200m3/hr 80m cs,3,314180.7,Centrifugal Pump 200M3/Hr 80M Carbon Steel
