material_id,raw_description,quantity,unit_price
IOCL-00015,BOLT-HX-M20-SS304-GRB8,239,186.35
IOCL-00017,GSKT-SW-2IN-SS316,248,795.8
IOCL-00020,PUMP-CENTRF-200M3H-80M-CS,2,126735.86
IOCL-00122,STRAINER Y-TYPE 4IN CS,147,5613.48
IOCL-00059,fit-tee-3in-cs,287,1256.33
IOCL-00099,Vlv-Gate-2In-Cs-Cl150,38,37170.36
IOCL-00043,CPLG-2IN-CS,71,1208.23
IOCL-00055,pipe - 4in - ss316 - sch80 - smls,735,3038.23
IOCL-00045,Pipe-8In-Cs-Sch80-Wld,481,1153.84
IOCL-00068,CPLG-4IN-SS316,59,1231.31
IOCL-00082,BOLT-HX-M16-CS-GR8.8,1892,114.94
IOCL-00048,FIT-TEE-6IN-SS316,265,3879.22
IOCL-00132,CABLE GLAND BRASS 20MM NPT,310,10997.24
IOCL-00115,VLV-CHK-2IN-SS304,99,17552.92
IOCL-00052,gskt-sw-2in-ss316,52,695.25
IOCL-00029,flg-blind-3in-ss304-cl150,54,21832.64
IOCL-00038,SEAL-ORING-2IN-SS316,112,6029.1
IOCL-00117,CONTROL VALVE POSITIONER PNEUMATIC,500,16353.58
IOCL-00003,Flg-Blind-3In-Ss304-Cl150,83,30245.66
IOCL-00114,PUMP-CENTRF-50M3H-30M-CS,415,4220.98
IOCL-00085,FIT-TEE-3IN-CS,237,2642.07
IOCL-00061,PIPE-4IN-SS316-SCH80-SMLS,901,732.28
IOCL-00087,VLV-GLB-3IN-CS-CL300,52,145823.75
IOCL-00092,PIPE-3IN-CS-SCH40-SMLS,575,2612.86
IOCL-00101,Vlv-Gate-2In-Cs-Cl150,395,12688.92
IOCL-00053,SEAL-MECH-3IN-SS316,63,3092.38
IOCL-00149,CONTROL VALVE POSITIONER PNEUMATIC,4,10008.91
IOCL-00147,LIMIT SWITCH ROTARY TYPE,481,13395.03
IOCL-00025,FIT-ELB-2IN-CS,268,697.99
IOCL-00067,VLV-CHK-2IN-SS304,13,32053.06
IOCL-00002,VLV-GLB-1-1/2IN-SS316,61,110335.1
IOCL-00072,GSKT-SW-2IN-SS316,112,940.24
IOCL-00096,VLV-CHK-2IN-SS304,32,74439.01
IOCL-00090,SEAL-MECH-6IN-SS316,82,2421.76
IOCL-00077,GSKT-SW-4IN-GRPH,287,264.6
IOCL-00116,JUNCTION BOX SS304 IP65,144,4609.57
IOCL-00125,motor 3ph 415v 15kw tefc,408,15608.52
IOCL-00034,BOLT-HX-3/4IN-CS-GRB7,1344,365.0
IOCL-00141,CONTROL VALVE POSITIONER PNEUMATIC,22,12744.84
IOCL-00136,FILTER ELEMENT 10 MICRON PLEATED,404,6541.72
IOCL-00063,VLV-CHK-2IN-SS304,52,134573.01
IOCL-00024,VLV-CHK-2IN-SS304-CL150,60,103266.49
IOCL-00121,PRESSURE GAUGE 0-100 BAR 4IN DIAL,9,17658.6
IOCL-00064,VLV-BALL-3IN-SS316,4,85364.78
IOCL-00139,control valve positioner pneumatic,176,6195.81
IOCL-00044,CPLG-2IN-CS,1,4522.31
IOCL-00049,PUMP-CENTRF-50M3H-30M-CS,2,466835.4
IOCL-00086,Seal-Mech-3In-Ss316,63,3349.92
IOCL-00079,FLG-WN-4IN-SS316-CL300,3,18275.87
IOCL-00073,VLV-BALL-2IN-SS316-CL150,30,29612.37
IOCL-00127,LIMIT SWITCH ROTARY TYPE,422,3274.49
IOCL-00097,FLG - WN - 3IN - CS - CL150,68,28091.76
IOCL-00119,FILTER ELEMENT 10 MICRON PLEATED,254,19925.26
IOCL-00058,FLG-BLIND-6IN-CS-CL150,90,38278.47
IOCL-00113,GSKT-SW-3IN-SS316,473,6854.27
IOCL-00036,BOLT-STUD-M24-CS-GRB7,1775,262.81
IOCL-00012,SEAL-ORING-2IN-SS316,90,255.12
IOCL-00107,PUMP-CENTRF-50M3H-30M-CS,451,380.93
IOCL-00032,PUMP - CENTRF - 100M3H - 50M - SS316,2,252389.36
IOCL-00144,CABLE GLAND BRASS 20MM NPT,283,17846.33
IOCL-00042,NUT-HX-M16-CS-GR8,1886,151.66
IOCL-00035,VLV-BFLY-8IN-SS316,87,15096.89
IOCL-00076,SEAL-ORING-2IN-SS316,191,2979.12
IOCL-00094,SEAL-MECH-3IN-SS316,148,7284.47
IOCL-00106,SEAL-ORING-2IN-SS316,420,6552.88
IOCL-00056,PIPE-3IN-CS-SCH40-SMLS,970,4458.62
IOCL-00060,VLV-GATE-4IN-CS,15,79364.46
IOCL-00124,FILTER ELEMENT 10 MICRON PLEATED,54,17133.67
IOCL-00070,BOLT-STUD-M24-CS-GRB7,606,465.2
IOCL-00046,VLV - BALL - 4IN - CS,81,4083.81
IOCL-00112,FLG - WN - 3IN - CS - CL150,267,16762.32
IOCL-00040,FLG-BLIND-3IN-SS304-CL150,60,48297.51
IOCL-00118,LIMIT SWITCH ROTARY TYPE,2,10616.53
IOCL-00093,GSKT-SW-8IN-GRPH,228,114.45
IOCL-00111,VLV-BFLY-6IN-CS,338,7765.37
IOCL-00028,VLV-GATE-2IN-CS-CL150,2,100053.3
IOCL-00126,Pressure Gauge 0-100 Bar 4In Dial,113,17026.02
IOCL-00108,VLV-BALL-4IN-CS-CL150,148,16199.55
IOCL-00004,PIPE-2IN-CS-SCH40-SMLS,468,679.88
IOCL-00088,Pump-Centrf-50M3H-30M-Cs,2,161094.23
IOCL-00130,MOTOR 3PH 415V 15KW TEFC,349,13286.86
IOCL-00018,VLV-GLB-1-1/2IN-SS316-CL150,3,89677.36
IOCL-00095,FLG-WN-4IN-SS316-CL300,53,34354.57
IOCL-00110,VLV - BALL - 4IN - CS,424,18813.44
IOCL-00137,Control Valve Positioner Pneumatic,392,7361.05
IOCL-00089,pipe-3in-cs-sch40-smls,622,3618.9
IOCL-00011,FIT-TEE-6IN-SS316,26,1590.79
IOCL-00145,THERMOWELL SS316 6IN INSERTION,277,8716.17
IOCL-00031,gskt-sw-6in-ss316,222,111.06
IOCL-00078,BOLT-HX-M20-SS304-GRB8,677,216.42
