material_id,raw_description,quantity,unit_price
BPCL-00089,globe valve 3in cs cl300,1,24975.56
BPCL-00095,ORING SEAL 2IN SS316,179,1417.99
BPCL-00028,GASKET SW 8IN GRAPHITE,9,1442.42
BPCL-00107,GASKET SW 2IN SS316,398,2864.58
BPCL-00111,hex nut m16 cs gr8,112,16970.16
BPCL-00013,FLANGE BLIND 6IN CS CL150,38,45083.7
BPCL-00054,FLANGE BLIND 8IN CS CL300,21,6548.66
BPCL-00050,CENTRIFUGAL PUMP 75M3/HR 40M SS304,1,218495.92
BPCL-00100,CHECK VALVE 2IN SS304 CL150,67,17408.07
BPCL-00120,BALL BEARING 6205 2RS,226,11063.34
BPCL-00144,FIRE EXTINGUISHER CO2 5KG,309,12030.31
BPCL-00097,ELBOW 4IN SS316,251,232.77
BPCL-00033,TEE 3IN CS,161,2046.71
BPCL-00136,NITRILE GLOVES SIZE L BOX OF 100,356,2399.13
BPCL-00143,CABLE TRAY PERFORATED 300MM GI,98,14657.08
BPCL-00081,GASKET SW 3IN SS316,162,731.3
BPCL-00062,Ball Valve 2In Ss316 Cl150,63,51357.88
BPCL-00010,STUD BOLT 1IN SS316 GRB8M,1115,161.52
BPCL-00105,ELBOW 4IN SS316,400,16146.66
BPCL-00106,GATE VALVE 4IN CS CL300,165,7973.81
BPCL-00073,CHECK VALVE 4IN CS CL150,85,3937.98
BPCL-00046,CENTRIFUGAL PUMP 200M3/HR 80M CS,3,376743.01
BPCL-00065,GASKET SW 8IN GRAPHITE,21,987.63
BPCL-00135,fire hose reel 30mtr,128,16460.55
BPCL-00034,HEX NUT M16 CS GR8,1230,272.23
BPCL-00030,CENTRIFUGAL PUMP 75M3/HR 40M SS304,5,96312.21
BPCL-00020,GASKET SW 2IN SS316,183,1882.67
BPCL-00074,PIPE 4IN SS316 SCH80,858,2672.83
BPCL-00129,ladder fiberglass 12ft,281,13991.97
BPCL-00049,GLOBE VALVE 3IN CS CL300,92,24575.78
BPCL-00058,GATE VALVE 4IN CS CL300,15,35654.55
BPCL-00068,Reducer 4In Cs,29,1316.31
BPCL-00101,Hex Bolt 3/4In Cs Grb7,92,17754.84
BPCL-00026,GASKET SW 2IN SS316,293,1428.61
BPCL-00022,HEX NUT M16 CS GR8,1362,439.92
BPCL-00021,TEE 3IN CS,19,1741.04
BPCL-00052,REDUCER 6IN SS304,218,610.81
BPCL-00148,FIRE EXTINGUISHER CO2 5KG,130,8469.62
BPCL-00029,Centrifugal Pump 50M3/Hr 30M Cs,1,444544.54
BPCL-00004,GLOBE VALVE 3IN CS CL300,72,126590.66
BPCL-00038,CENTRIFUGAL PUMP 200M3/HR 80M CS,3,372280.58
BPCL-00090,flange blind 8in cs cl300,55,17383.78
BPCL-00001,PIPE 6IN CS SCH40,597,4704.03
BPCL-00059,CENTRIFUGAL PUMP 75M3/HR 40M SS304,1,229551.22
BPCL-00051,PIPE 3IN CS SCH40,38,2235.83
BPCL-00139,nitrile gloves size l box of 100,76,9974.42
BPCL-00130,grease nlgi-2 180kg drum,246,5194.86
BPCL-00119,WIRE ROPE 12MM GALVANIZED,256,6936.58
BPCL-00060,hex nut m16 cs gr8,251,373.4
BPCL-00137,GREASE NLGI-2 180KG DRUM,34,9986.91
BPCL-00006,GASKET SW 3IN SS316,290,443.17
BPCL-00063,FLANGE WN 4IN SS316 CL300,90,21310.72
BPCL-00016,PIPE 3IN CS SCH40,512,1905.74
BPCL-00017,FLANGE WN 3IN CS CL150,53,27061.02
BPCL-00012,GATE VALVE 2IN CS CL150,14,68888.39
BPCL-00104,CENTRIFUGAL PUMP 75M3/HR 40M SS304,120,14459.23
BPCL-00009,ELBOW 4IN SS316,136,2663.02
BPCL-00113,GATE VALVE 4IN CS CL300,82,12876.36
BPCL-00031,HEX BOLT M20 SS304 GRB8,277,59.76
BPCL-00103,tee 3in cs,88,16116.03
BPCL-00027,GASKET SW 3IN SS316,90,115.39
BPCL-00036,Hex Bolt M20 Ss304 Grb8,144,361.42
BPCL-00150,BALL BEARING 6205 2RS,181,3728.2
BPCL-00066,centrifugal pump 200m3/hr 80m cs,3,314180.7
